time_start,exchange,market,open,high,low,close,volume
03/04/2016 08:22,BITF,BTC/USD,418.64,418.64,418.6,418.6,5.49828066
03/04/2016 08:23,BITF,BTC/USD,418.6,418.6,418.6,418.6,0
03/04/2016 08:24,BITF,BTC/USD,418.6,418.6,418.6,418.6,0
03/04/2016 08:25,BITF,BTC/USD,418.6,418.6,418.6,418.6,0
03/04/2016 08:26,BITF,BTC/USD,418.6,418.6,418.6,418.6,0
03/04/2016 08:27,BITF,BTC/USD,418.6,418.6,418.6,418.6,0
03/04/2016 08:28,BITF,BTC/USD,418.6,418.6,418.6,418.6,0
03/04/2016 08:29,BITF,BTC/USD,418.6,418.6,418.6,418.6,0
03/04/2016 08:30,BITF,BTC/USD,418.62,418.64,418.62,418.64,3.515
03/04/2016 08:31,BITF,BTC/USD,418.64,418.64,418.64,418.64,0
03/04/2016 08:32,BITF,BTC/USD,418.64,418.64,418.64,418.64,0
03/04/2016 08:33,BITF,BTC/USD,418.73,418.73,418.65,418.65,2.40407
03/04/2016 08:34,BITF,BTC/USD,418.66,418.72,418.66,418.72,0.25
03/04/2016 08:35,BITF,BTC/USD,418.72,418.72,418.72,418.72,0.27
03/04/2016 08:36,BITF,BTC/USD,418.72,418.72,418.72,418.72,0.26
03/04/2016 08:37,BITF,BTC/USD,418.72,418.72,418.72,418.72,0.28
03/04/2016 08:38,BITF,BTC/USD,418.72,418.72,418.72,418.72,0.26
03/04/2016 08:39,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 08:40,BITF,BTC/USD,418.74,418.74,418.74,418.74,0.01
03/04/2016 08:41,BITF,BTC/USD,418.74,418.74,418.74,418.74,0
03/04/2016 08:42,BITF,BTC/USD,418.83,418.83,418.83,418.83,0.01
03/04/2016 08:43,BITF,BTC/USD,418.83,418.87,418.83,418.87,0.025
03/04/2016 08:44,BITF,BTC/USD,418.87,418.87,418.87,418.87,0
03/04/2016 08:45,BITF,BTC/USD,418.87,418.87,418.87,418.87,0
03/04/2016 08:46,BITF,BTC/USD,418.87,418.87,418.87,418.87,0
03/04/2016 08:47,BITF,BTC/USD,418.87,418.87,418.87,418.87,0
03/04/2016 08:48,BITF,BTC/USD,418.87,418.87,418.87,418.87,0
03/04/2016 08:49,BITF,BTC/USD,418.87,418.87,418.87,418.87,0
03/04/2016 08:50,BITF,BTC/USD,419,419,418.9,418.9,50
03/04/2016 08:51,BITF,BTC/USD,419,419,419,419,0.5
03/04/2016 08:52,BITF,BTC/USD,419,419,419,419,0
03/04/2016 08:53,BITF,BTC/USD,419,419,419,419,0
03/04/2016 08:54,BITF,BTC/USD,419,419,419,419,0
03/04/2016 08:55,BITF,BTC/USD,419,419,419,419,0
03/04/2016 08:56,BITF,BTC/USD,419,419,419,419,0
03/04/2016 08:57,BITF,BTC/USD,418.9,418.9,418.9,418.9,4.1
03/04/2016 08:58,BITF,BTC/USD,418.93,418.93,418.93,418.93,0.05
03/04/2016 08:59,BITF,BTC/USD,419,419.25,418.83,419.19,4.91
03/04/2016 09:00,BITF,BTC/USD,419.19,419.19,419.19,419.19,0
03/04/2016 09:01,BITF,BTC/USD,419.19,419.19,419.19,419.19,0
03/04/2016 09:02,BITF,BTC/USD,419.19,419.19,419.19,419.19,0
03/04/2016 09:03,BITF,BTC/USD,419.19,419.19,419.19,419.19,0
03/04/2016 09:04,BITF,BTC/USD,418.99,418.99,418.99,418.99,0.03544078
03/04/2016 09:05,BITF,BTC/USD,418.99,418.99,418.99,418.99,0
03/04/2016 09:06,BITF,BTC/USD,418.99,418.99,418.99,418.99,0
03/04/2016 09:07,BITF,BTC/USD,419.09,419.09,419.09,419.09,0.11819826
03/04/2016 09:08,BITF,BTC/USD,418.83,418.83,418.83,418.83,0.01527483
03/04/2016 09:09,BITF,BTC/USD,418.83,418.83,418.83,418.83,0
03/04/2016 09:10,BITF,BTC/USD,418.83,418.83,418.83,418.83,0
03/04/2016 09:11,BITF,BTC/USD,419.25,419.25,419.25,419.25,1.23552582
03/04/2016 09:12,BITF,BTC/USD,419.25,419.25,419.25,419.25,0
03/04/2016 09:13,BITF,BTC/USD,419.18,419.18,419.18,419.18,0.09505712
03/04/2016 09:14,BITF,BTC/USD,419.18,419.18,419.18,419.18,0
03/04/2016 09:15,BITF,BTC/USD,419.18,419.18,419.18,419.18,0
03/04/2016 09:16,BITF,BTC/USD,419.25,419.25,419.25,419.25,2
03/04/2016 09:17,BITF,BTC/USD,419.18,419.18,419.18,419.18,0.20459977
03/04/2016 09:18,BITF,BTC/USD,419.18,419.18,419.18,419.18,0
03/04/2016 09:19,BITF,BTC/USD,419.18,419.18,419.18,419.18,0
03/04/2016 09:20,BITF,BTC/USD,419.09,419.09,419.03,419.03,0.66
03/04/2016 09:21,BITF,BTC/USD,419.24,419.24,419.03,419.03,0.096
03/04/2016 09:22,BITF,BTC/USD,419.03,419.03,419.03,419.03,0
03/04/2016 09:23,BITF,BTC/USD,419.25,419.25,419.25,419.25,1.26605331
03/04/2016 09:24,BITF,BTC/USD,419.25,419.25,419.25,419.25,0
03/04/2016 09:25,BITF,BTC/USD,419.25,419.25,419,419.25,1.12513271
03/04/2016 09:26,BITF,BTC/USD,419.25,419.25,419.25,419.25,2.36238794
03/04/2016 09:27,BITF,BTC/USD,419.25,419.25,419.25,419.25,0
03/04/2016 09:28,BITF,BTC/USD,419.25,419.25,419.25,419.25,0.05107796
03/04/2016 09:29,BITF,BTC/USD,419.25,419.25,419.25,419.25,2.1
03/04/2016 09:30,BITF,BTC/USD,419.25,419.31,419.1,419.1,0.2255058
03/04/2016 09:31,BITF,BTC/USD,419.1,419.1,419.1,419.1,0.23
03/04/2016 09:32,BITF,BTC/USD,419.1,419.1,419.1,419.1,0.24
03/04/2016 09:33,BITF,BTC/USD,419.1,419.12,419.1,419.1,0.23811048
03/04/2016 09:34,BITF,BTC/USD,419.1,419.1,419.1,419.1,0.26
03/04/2016 09:35,BITF,BTC/USD,419.1,419.1,419.1,419.1,0.25
03/04/2016 09:36,BITF,BTC/USD,419.1,419.1,419.03,419.03,0.25
03/04/2016 09:37,BITF,BTC/USD,419.03,419.18,419.03,419.18,0.22
03/04/2016 09:38,BITF,BTC/USD,419.18,419.18,419.18,419.18,0.27
03/04/2016 09:39,BITF,BTC/USD,419.18,419.18,419.18,419.18,0.04527483
03/04/2016 09:40,BITF,BTC/USD,419.19,419.19,419.19,419.19,0.02362579
03/04/2016 09:41,BITF,BTC/USD,419.19,419.19,419.18,419.18,0.69
03/04/2016 09:42,BITF,BTC/USD,419.04,419.09,419.04,419.09,0.06
03/04/2016 09:43,BITF,BTC/USD,419.05,419.17,419.04,419.1,0.95316584
03/04/2016 09:44,BITF,BTC/USD,419.1,419.1,419.1,419.1,0.1
03/04/2016 09:45,BITF,BTC/USD,419.03,419.03,419.03,419.03,0.17328482
03/04/2016 09:46,BITF,BTC/USD,419.03,419.03,419.03,419.03,0
03/04/2016 09:47,BITF,BTC/USD,419,419.03,418.75,418.8,35.9172
03/04/2016 09:48,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 09:49,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 09:50,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 09:51,BITF,BTC/USD,418.75,418.8,418.74,418.79,20.5871191
03/04/2016 09:52,BITF,BTC/USD,418.79,418.79,418.79,418.79,0.29
03/04/2016 09:53,BITF,BTC/USD,418.79,418.8,418.79,418.79,1.9639
